Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-01,1961,1,1,,-7.2,,-13.9,,-10.6,,28.6,,0,,0,"",15.2,"",15.2,"",64,"",5,"",89,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-02,1961,1,2,,-7.8,,-11.7,,-9.8,,27.8,,0,,0,"",3,"",3,"",79,"",23,"",40,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-03,1961,1,3,,-8.3,,-13.3,,-10.8,,28.8,,0,,0,"",3.3,"",3.3,"",81,"",,"",<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-04,1961,1,4,,-10.6,,-13.9,,-12.3,,30.3,,0,,0,"",0,T,0,T,84,"",32,"",48,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-05,1961,1,5,,-12.8,,-19.4,,-16.1,,34.1,,0,,0,"",0,"",0,"",81,"",25,"",45,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-06,1961,1,6,,-5,,-19.4,,-12.2,,30.2,,0,,0,"",5.1,"",5.1,"",79,"",,"",<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-07,1961,1,7,,-5,,-7.8,,-6.4,,24.4,,0,,0,"",10.2,"",10.2,"",81,"",7,"",80,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-08,1961,1,8,,-6.1,,-7.8,,-7,,25,,0,,0,"",5.3,"",5.3,"",91,"",7,S,72,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-09,1961,1,9,,-6.1,,-14.4,,-10.3,,28.3,,0,,0,"",0,"",0,"",94,"",29,"",42,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1961-01-10,1961,1,10,,-8.9,,-19.4,,-14.2,,32.2,,0,,0,"",0,T,0,T,91,"",25,"",37,
